# Generated by scripts/snapshot-opening-popularity.mjs
# source=https://chess-analysis.org/api/explore/lichess
# snapshot=2026-08-06T18:32:36.169Z
# variant=standard; speeds=blitz,rapid,classical; ratings=1200,1400,1600,1800,2000,2200,2500
# measuredParentDepth=4; deeper lines use documented 0.82-per-ply decay
uci	globalGames	globalShare
a2a3	0	0.00000000
a2a3 a7a5 b2b4	3095	0.09928464
a2a3 e7e5 b1c3	53641	0.04172549
a2a3 e7e5 b2b3 d7d5 c2c3 g8f6 d2d3 b8c6 e2e3 f8d6 f2f3 e8g8 g2g3	6517	0.07428389
a2a3 e7e5 g2g3 d7d5 f1g2 g8f6 d2d3 b8c6 b1d2 f8d6 e2e3 e8g8 h2h3	4038	0.10894669
a2a4	0	0.00000000
a2a4 a7a5	92299	0.03754973
a2a4 b7b5 a4b5 c8b7	587	0.14422604
a2a4 b7b6 d2d4 d7d5 b1c3 b8d7	62	0.04979920
a2a4 e7e5 a1a3	47200	0.04890827
a2a4 e7e5 a4a5 d7d5 e2e3 f7f5 a5a6	16875	0.18135606
a2a4 e7e5 h2h4	119260	0.12357627
b1a3	0	0.00000000
b1a3 e7e5 a3c4 b8c6 e2e4 f7f5	7622	0.44769457
b1a3 e7e5 d2d3 f8a3 b2a3 d7d5 e2e3 c7c5 a1b1	453	0.41032609
b1a3 g7g6 g2g4	0	0.00000000
b1c3	16842682	0.00394296
b1c3 b7b5	0	0.00000000
b1c3 c7c5 a1b1	0	0.00000000
b1c3 c7c5 b2b4	0	0.00000000
b1c3 c7c5 d2d4 c5d4 d1d4 b8c6 d4h4	301706	0.64971596
b1c3 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4	69850	0.21646296
b1c3 d7d5 d2d3 g8f6 g2g3	10457	0.08243660
b1c3 d7d5 e2e3 e7e5 d2d4 f8b4	137371	0.19814306
b1c3 d7d5 e2e4 d5e4 d2d3	37654	0.01146288
b1c3 d7d5 e2e4 d5e4 f1c4	39818	0.01212165
b1c3 d7d5 e2e4 d5e4 f2f3	35848	0.01091308
b1c3 d7d5 f2f4 d5d4 c3e4 c7c5	17881	0.67295171
b1c3 d7d5 f2f4 d5d4 c3e4 e7e5	17881	0.67295171
b1c3 d7d5 f2f4 d5d4 c3e4 e7e5 g1f3	14662	0.55180460
b1c3 d7d5 f2f4 d5d4 c3e4 f7f5 e4f2 g8f6 g1f3 c7c5 b2b4	6629	0.24948252
b1c3 d7d5 f2f4 e7e5	1178	0.00906328
b1c3 d7d5 f2f4 g7g5	0	0.00000000
b1c3 d7d6 f2f4 e7e5 f4e5 b8c6	2836	0.32877348
b1c3 e7e5	4586186	0.27302666
b1c3 e7e5 b2b3 d7d5 e2e4 d5e4 d2d3	2544	0.03353237
b1c3 e7e5 d2d4 e5d4 d1d4 b8c6 d4a4	690750	0.64612656
b1c3 e7e5 e2e3 d7d5 d1h5 c8e6	107926	0.15567178
b1c3 e7e5 e2e3 d7d5 d1h5 g8f6	107926	0.15567178
b1c3 e7e5 f2f4 e5f4 e2e4	877	0.02863019
b1c3 e7e5 g1f3 b8c6 d2d4	524389	0.39549545
b1c3 e7e5 g1f3 f8c5	42923	0.02960131
b1c3 f7f5 e2e4 f5e4 d2d3	16264	0.06962299
b1c3 g7g6 h2h4	27197	0.03202186
b1c3 g8f6 g2g4	36976	0.01465958
b2b3	43862881	0.01026852
b2b3 b7b5	0	0.00000000
b2b3 b7b6	1249161	0.02853743
b2b3 c7c5	2353526	0.05376696
b2b3 d7d5	11203445	0.25594582
b2b3 d7d5 c1a3	121926	0.01089254
b2b3 e7e5	15241076	0.34818663
b2b3 e7e5 c1b2 b8c6	8671915	0.62080277
b2b3 e7e5 c1b2 b8c6 c2c4 g8f6	220713	0.02477048
b2b3 e7e5 c1b2 b8c6 e2e3	4660286	0.52302099
b2b3 e7e5 c1b2 b8c6 f2f4	0	0.00000000
b2b3 f7f5	399841	0.00913448
b2b3 f7f5 c1b2 e7e6 e2e4	7520	0.05350028
b2b3 g8f6	4737890	0.10823842
b2b3 g8f6 c1b2 g7g6 g2g4	202663	0.07100320
b2b4	18798020	0.00440071
b2b4 b7b5	209143	0.01115274
b2b4 b8c6	0	0.00000000
b2b4 c7c5	317766	0.01694516
b2b4 c7c6	640733	0.03416766
b2b4 c7c6 c1b2 a7a5 b4b5 c6b5 e2e4	1723	0.04709194
b2b4 d7d5	3847410	0.20516659
b2b4 d7d5 c1b2 c7c6 a2a4	36720	0.07009480
b2b4 d7d5 c1b2 c8f5	384500	0.11652024
b2b4 d7d5 c1b2 d8d6	48872	0.01481034
b2b4 d7d5 c1b2 g8f6 g1f3	182212	0.17338728
b2b4 d7d5 g1f3	37126	0.00966069
b2b4 e7e5 a2a3	422478	0.05721265
b2b4 e7e5 c1b2 c7c5	0	0.00000000
b2b4 e7e5 c1b2 d7d6	2050775	0.33244978
b2b4 e7e5 c1b2 f7f6 b4b5	248803	0.39988010
b2b4 e7e5 c1b2 f7f6 e2e4	52971	0.08513583
b2b4 e7e6 c1b2 g8f6 b4b5 a7a6	437579	0.37239403
b2b4 e7e6 c1b2 g8f6 b4b5 a7a6 a2a4 a6b5 a4b5 a8a1 b2a1	162228	0.13806133
b2b4 e7e6 c1b2 g8f6 b4b5 b7b6	437579	0.37239403
b2b4 e7e6 c1b2 g8f6 b4b5 d7d5 e2e3	358815	0.30536329
b2b4 f7f5	197010	0.01050573
b2b4 g8f6 c1b2 g7g6	540072	0.32461400
b2b4 g8f6 c1b2 g7g6 c2c4 f8g7 e2e3 d7d6 g1f3 e8g8 d2d4	47361	0.04356437
b2b4 g8f6 c1b2 g7g6 e2e4	98706	0.09079336
b2b4 g8h6	0	0.00000000
c2c3	0	0.00000000
c2c4	142916098	0.03345738
c2c4 b7b5	419798	0.00294413
c2c4 b8c6	1711421	0.01200256
c2c4 c7c5	16254160	0.11399390
c2c4 c7c5 b1c3	9437482	0.58120197
c2c4 c7c5 b1c3 b8c6	5083674	0.53906814
c2c4 c7c5 b1c3 b8c6 g2g3	60000	0.46153846
c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 e2e3 e7e5	22244	0.17110769
c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 g1f3	27127	0.20866923
c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 g1f3 e7e5	22244	0.17110769
c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 g1f3 e7e5 e1g1 d7d6	14957	0.11505385
c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 g1f3 e7e5 e1g1 g8e7	14957	0.11505385
c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 g1f3 e7e5 e1g1 g8e7 a2a3	12265	0.09434615
c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 g1f3 e7e5 e1g1 g8e7 d2d3	12265	0.09434615
c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 g1f3 e7e5 e1g1 g8e7 d2d3 d7d6	10057	0.07736154
c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 g1f3 g8f6 e1g1 e8g8 b2b3	12265	0.09434615
c2c4 c7c5 b1c3 g8f6 g1f3	544930	0.26250023
c2c4 c7c5 b1c3 g8f6 g1f3 e7e5	446843	0.21525038
c2c4 c7c5 b2b4	25185	0.00155100
c2c4 c7c5 e2e4 b8c6 b1c3 g7g6 g2g3 f8g7 f1g2	782850	0.20919641
c2c4 c7c5 g1f3	1541878	0.09495568
c2c4 c7c5 g1f3 g8f6 b1c3 b8c6 g2g3 d7d5 d2d4 c5d4	11122	0.15888571
c2c4 c7c5 g1f3 g8f6 b1c3 b8c6 g2g3 d7d5 d2d4 e7e6	11122	0.15888571
c2c4 c7c5 g1f3 g8f6 b1c3 d7d5 c4d5 f6d5 g2g3 b8c6 f1g2 d5c7	7479	0.10684286
c2c4 c7c5 g1f3 g8f6 b2b4	0	0.00000000
c2c4 c7c5 g2g3 g7g6 f1g2 f8g7 b1c3 b8c6	195476	0.51709397
c2c4 c7c6	8018255	0.05623374
c2c4 c7c6 g1f3 d7d5 e2e3	607736	0.23924005
c2c4 c7c6 g1f3 d7d5 e2e3 g8f6 b1c3 b8d7 b2b3 e7e5	225312	0.08869584
c2c4 c7c6 g1f3 d7d5 e2e3 g8f6 b1c3 b8d7 d1c2	274771	0.10816576
c2c4 c7c6 g1f3 d7d5 e2e3 g8f6 b1c3 e7e6 b2b3 f8d6	225312	0.08869584
c2c4 c7c6 g1f3 d7d5 e2e3 g8f6 d1c2	408642	0.16086513
c2c4 c7c6 g1f3 d7d5 g2g3 g8f6 b2b3 g7g6	257074	0.10119920
c2c4 c7c6 g1f3 d7d5 g2g3 g8f6 f1g2	313504	0.12341331
c2c4 c7c6 g1f3 d7d5 g2g3 g8f6 f1g2 c8f5	257074	0.10119920
c2c4 c7c6 g1f3 d7d5 g2g3 g8f6 f1g2 c8f5 e1g1 e7e6 d2d3	141742	0.05579785
c2c4 c7c6 g1f3 d7d5 g2g3 g8f6 f1g2 d5c4	257074	0.10119920
c2c4 d7d5	10578416	0.07418870
c2c4 d7d5 c4d5 d8d5 b1c3 d5a5	4195612	0.72870862
c2c4 d7d5 c4d5 e7e6	205729	0.02840334
c2c4 d7d5 c4d5 g8f6	903835	0.12478518
c2c4 e7e5	46834168	0.32845805
c2c4 e7e5 b1c3	28505586	0.60927720
c2c4 e7e5 b1c3 b8c6	4982649	0.17492913
c2c4 e7e5 b1c3 b8c6 g1f3	1301955	0.24495220
c2c4 e7e5 b1c3 b8c6 g2g3 d7d6 f1g2 c8e6	1158511	0.21796438
c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 a1b1 g8h6 f1g2 f8g7	778983	0.14655929
c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7	1158511	0.21796438
c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 a1b1	949979	0.17873079
c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 d2d3	949979	0.17873079
c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 d2d3 d7d6	778983	0.14655929
c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 d2d3 d7d6 e2e4	638766	0.12017861
c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 e2e3 d7d6 g1e2 c8e6	523788	0.09854644
c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 e2e3 d7d6 g1e2 g8h6	523788	0.09854644
