ZiRmq	3r2k1/b4pBq/p1pprP2/1p6/1P1p1Q2/P6P/6P1/R3R1K1 w - - 9 29	e1e6 d4d3 g1h1 f7e6 f6f7 g8g7 f4g5 g7f7 g5d8	2540	000g0s191n1w
bRTnL	r3r2k/pp1nb1pp/2pp1n2/5QBq/2PP4/3B4/PP3PPP/RN2R1K1 b - - 4 18	g7g6 f5f4 f6d5	2540	01191o
dD2B7	r2q1rk1/ppp3pp/2p2p2/3n2bR/3P4/2PQ1N2/PP3PP1/R5K1 w - - 2 19	d3h7 g8f7 h5g5 f6g5 f3e5 f7e6 a1e1 d8f6 e5g4	2540	0g0j0k0y191l1w
dapXq	8/7p/1p6/p2k1p2/P6P/1P2PK2/8/8 w - - 2 46	f3f4 d5e6 f4g5 e6e5 h4h5 e5e4 g5f6	2540	0g0p1e1l1w1z
eXzoE	2r3k1/1N3ppn/p3q1p1/3p4/5P2/4P2P/PP4P1/3QR1K1 b - - 1 23	e6b6 d1b3 b6c7 b3d5 h7f6 d5f3 c8b8	2540	010p1w
gYt93	3r2k1/1b1rbppp/p4n2/1pn1p1B1/8/2N1PN2/PPBR1PPP/3R2K1 b - - 1 18	b7f3 d2d7 f6d7 g5e7 f3d1 c2h7 g8h7	2540	0g191w
gnTOE	r5k1/1p6/2pp3b/p2Pp1q1/P1P1P1b1/1PNB1r2/1BK5/4RN1Q b - - 0 33	f3h3 h1h3 g4h3	2540	01191o
gqWhy	8/p7/2p2k1p/1p6/2P2KPP/8/P7/8 w - - 0 44	c4b5 c6b5 f4e4	2540	010h0p1e1o
h6Clr	8/5p1p/2k3p1/1pp2PP1/P7/1PK4P/8/8 w - - 0 39	a4b5 c6b5 f5f6	2540	0g0p11121e1o1z
hfFqw	rn2rk2/pp2q1b1/3p1pQ1/2p3N1/2b5/8/PP4PP/R1B2RK1 w - - 4 19	g5h7 f8g8 h7f6 e7f6 g6e8 f6f8 f1f8	2540	0g0i0r0s1c1w
hqUpb	r2r4/pp3pkp/2n2Np1/4PQ2/n2P4/2P2K1R/3N2PP/2q5 w - - 2 26	h3h7 g7f8 f6d7 d8d7 h7h8 f8e7 f5f6	2540	1317191n1w
iCcgS	5rk1/5bq1/4p1p1/p1pnP1P1/P4B2/1P1rP1KQ/1R6/7R w - - 6 39	b2h2 d3e3 f4e3 g7e5 g3g2 d5e3 h3e3	2540	0g191l1w
iFKIk	2k1r1r1/p2R4/q1p4b/BpPp3p/3Pp3/Q3P1P1/PP2N3/1K3R2 b - - 0 27	c8d7 f1f7 d7c8	2540	010h0t191o
ioqQ1	8/8/2p5/5pkP/1P5R/4rpPK/8/8 b - - 6 52	e3e1 h3h2 f3f2	2540	000g0p1l1m1o
jrXfa	r2qr1k1/pb1nbp2/1p3np1/3pN3/2pP4/2P2N2/PPQ2PPP/R1B1R1K1 w - - 0 15	e5f7 g8f7 f3g5 f7g7 g5e6	2540	01050y10191n
kUlcQ	1k6/pp3B2/2p4p/5Qb1/5r1p/P6P/KPR2P2/3q4 w - - 4 33	f5e5 b8a8 f7d5 f4f8 c2c6	2540	0g0p10
mKIxB	1k1r4/2p5/6P1/1p1pP3/p2P4/2P1P3/2BK4/8 w - - 0 30	e5e6 a4a3 d2c1	2540	0g0h0p111o
maMdv	8/7p/1R4pk/5p2/5P1P/5P2/3r4/5K2 b - - 19 53	h6h5 b6b7 h5h4	2540	0g0p1m1o
miuPw	8/1PR3pk/2P5/8/8/1r3p2/2R1r3/3K4 b - - 2 47	b3b1 c2c1 b1b2	2540	0g0p1m1o
o2Ny9	6k1/1B6/4brp1/q7/6Pp/P3Q2P/7K/3R4 b - - 0 32	a5c7 h2g1 c7b7 g4g5 b7f3 d1e1 e6d5 e3f3 f6f3	2540	0g0p0s1l1w
oNsEu	8/8/2p5/4k1p1/2Q4p/6qP/PP6/7K w - - 18 47	c4c3 g3c3 b2c3 e5d5 h1g2 d5c4 a2a4	2540	0g0h0p1i1w
oP8yk	r3kb1r/p3qp1p/2p1b1p1/n2np3/B2P4/5Q2/PPP2PPP/RNB2RK1 w kq - 1 13	c1d2 e6d7 d2a5	2540	011c1o
rJVBM	6q1/5k2/1p1p1prr/1P2pP1P/P1P1P2R/1K6/6R1/8 w - - 0 54	h5g6 f7g7 h4h6 g7h6 g6g7	2540	000g0j0p101j
sYYol	6K1/6RP/3k4/8/2p5/8/7r/8 w - - 0 50	g7g5 c4c3 h7h8q h2h8 g8h8 c3c2 g5g1 d6d5 g1c1 d5c4 c1c2	2540	000g0p1h1l1m1w
suI0k	r4rk1/1p3pp1/5n1p/p2Pp3/4P1b1/P1N2R2/1q2B1PP/R2Q3K w - - 1 18	a1a2 b2b6 f3f6 b6f6 e2g4	2540	010b0j1019
t2GuM	1q4k1/5pp1/p2P3p/2R5/2PQ4/5N1P/Pr3rP1/6K1 w - - 0 31	d4f2 b2f2 d6d7 b8d6 c5c8 g8h7 d7d8q d6d8 c8d8	2540	000g0p111h1n1w
tOq7z	8/8/5k2/5ppp/3K3P/5PP1/8/8 w - - 1 39	f3f4 g5h4 g3h4	2540	0g0p1e1o
udSLB	r2qkbnr/pb1ppppp/1pn5/8/2B1P3/5N2/PB3PPP/RN1Q1RK1 w kq - 2 8	c4f7 e8f7 f3g5 f7e8 b2g7	2540	04050g0i101c1n
uuEOV	r6r/1p1k4/p1n4p/2Pp1b2/7R/2P1R3/PPQ2Pq1/1K6 w - - 0 27	c2f5 d7c7 f5f4 c7c8 h4g4 g2f1 b1c2	2540	010r191w
vCojO	8/1p4kb/p7/P1pP1Pn1/4n3/4N1K1/1P6/1B6 w - - 4 39	g3f4 e4d2 f4g5 d2b1 d5d6 g7f7 e3d5	2540	0g0h0p1w
